Export File Created with QBlade v0.96 64bit on 09.07.2020 at 18:18:47
_TSR4.5 solidity=0.10 ua,_TSR4.5 solidity=0.10 ua,_TSR4.5 solidity=0.14 ua 4-2,_TSR4.5 solidity=0.14 ua 4-2,
Azimuthal Position Blade 1 [deg],Angle of Attack (at section) Blade 1 [deg],Azimuthal Position Blade 1 [deg],Angle of Attack (at section) Blade 1 [deg],
3.45000e+02,-4.39043e+00,3.45000e+02,-4.33517e+00,
3.50000e+02,-3.55259e+00,3.50000e+02,-3.96738e+00,
3.55000e+02,-3.08905e+00,3.55000e+02,-3.43373e+00,
0.00000e+00,-2.13760e+00,0.00000e+00,-2.73207e+00,
5.00000e+00,-1.31386e+00,5.00000e+00,-2.06625e+00,
1.00000e+01,-5.57777e-01,1.00000e+01,-1.28131e+00,
1.50000e+01,2.63938e-01,1.50000e+01,-4.94614e-01,
2.00000e+01,1.19447e+00,2.00000e+01,3.55631e-01,
2.50000e+01,1.96982e+00,2.50000e+01,1.27307e+00,
3.00000e+01,2.71524e+00,3.00000e+01,2.05147e+00,
3.50000e+01,3.43732e+00,3.50000e+01,2.77290e+00,
4.00000e+01,4.18313e+00,4.00000e+01,3.46474e+00,
4.50000e+01,4.91838e+00,4.50000e+01,4.14996e+00,
5.00000e+01,5.63485e+00,5.00000e+01,4.84751e+00,
5.50000e+01,6.28873e+00,5.50000e+01,5.50721e+00,
6.00000e+01,6.89357e+00,6.00000e+01,6.11347e+00,
6.50000e+01,7.29538e+00,6.50000e+01,6.67036e+00,
7.00000e+01,7.79134e+00,7.00000e+01,7.12068e+00,
7.50000e+01,8.05576e+00,7.50000e+01,7.47196e+00,
8.00000e+01,8.41413e+00,8.00000e+01,7.73024e+00,
8.50000e+01,8.72253e+00,8.50000e+01,7.95253e+00,
9.00000e+01,8.98487e+00,9.00000e+01,8.23121e+00,
9.50000e+01,9.22216e+00,9.50000e+01,8.42369e+00,
1.00000e+02,9.35742e+00,1.00000e+02,8.46499e+00,
1.05000e+02,9.41119e+00,1.05000e+02,8.57884e+00,
1.10000e+02,9.38257e+00,1.10000e+02,8.41202e+00,
1.15000e+02,9.24733e+00,1.15000e+02,8.38495e+00,
1.20000e+02,8.93710e+00,1.20000e+02,8.01058e+00,
1.25000e+02,8.54831e+00,1.25000e+02,7.65674e+00,
1.30000e+02,8.11456e+00,1.30000e+02,7.13648e+00,
1.35000e+02,7.43616e+00,1.35000e+02,6.58872e+00,
1.40000e+02,6.75089e+00,1.40000e+02,5.80184e+00,
1.45000e+02,5.80530e+00,1.45000e+02,4.84883e+00,
1.50000e+02,4.81405e+00,1.50000e+02,3.82851e+00,
1.55000e+02,3.69956e+00,1.55000e+02,2.78877e+00,
1.60000e+02,2.61061e+00,1.60000e+02,1.75449e+00,
1.65000e+02,1.58195e+00,1.65000e+02,6.62050e-01,
1.70000e+02,4.68326e-01,1.70000e+02,-5.25936e-01,
1.75000e+02,-7.39985e-01,1.75000e+02,-1.75483e+00,
1.80000e+02,-2.02775e+00,1.80000e+02,-2.91642e+00,
1.85000e+02,-3.20409e+00,1.85000e+02,-4.08756e+00,
1.90000e+02,-4.04860e+00,1.90000e+02,-5.17679e+00,
1.95000e+02,-5.24250e+00,1.95000e+02,-6.06142e+00,
2.00000e+02,-6.31545e+00,2.00000e+02,-6.69593e+00,
2.05000e+02,-7.07376e+00,2.05000e+02,-6.75128e+00,
2.10000e+02,-7.32613e+00,2.10000e+02,-6.65848e+00,
2.15000e+02,-7.03489e+00,2.15000e+02,-7.23374e+00,
2.20000e+02,-8.45489e+00,2.20000e+02,-8.07338e+00,
2.25000e+02,-7.60782e+00,2.25000e+02,-8.38404e+00,
2.30000e+02,-9.42674e+00,2.30000e+02,-9.02347e+00,
2.35000e+02,-1.02514e+01,2.35000e+02,-9.06994e+00,
2.40000e+02,-1.06475e+01,2.40000e+02,-1.17588e+01,
2.45000e+02,-1.09635e+01,2.45000e+02,-1.39215e+01,
2.50000e+02,-1.12212e+01,2.50000e+02,-1.45009e+01,
2.55000e+02,-1.13523e+01,2.55000e+02,-9.64467e+00,
2.60000e+02,-1.14369e+01,2.60000e+02,-1.14654e+01,
2.65000e+02,-1.09233e+01,2.65000e+02,-1.01877e+01,
2.70000e+02,-8.57094e+00,2.70000e+02,-1.02962e+01,
2.75000e+02,-1.78648e+01,2.75000e+02,-9.43942e+00,
2.80000e+02,-1.48086e+01,2.80000e+02,-8.05661e+00,
2.85000e+02,-1.15926e+01,2.85000e+02,-8.09178e+00,
2.90000e+02,-1.64975e+01,2.90000e+02,-8.63313e+00,
2.95000e+02,-3.93629e+00,2.95000e+02,-8.28522e+00,
3.00000e+02,-5.33789e+00,3.00000e+02,-8.05869e+00,
3.05000e+02,-9.60048e+00,3.05000e+02,-7.74274e+00,
3.10000e+02,-1.51916e+01,3.10000e+02,-5.80842e+00,
3.15000e+02,-6.12251e+00,3.15000e+02,-6.22936e+00,
3.20000e+02,-6.62888e+00,3.20000e+02,-6.76906e+00,
3.25000e+02,-5.49967e+00,3.25000e+02,-5.51053e+00,
3.30000e+02,-5.93146e+00,3.30000e+02,-4.62554e+00,
3.35000e+02,-4.99988e+00,3.35000e+02,-4.76926e+00,
3.40000e+02,-4.28664e+00,3.40000e+02,-4.65288e+00,
3.45000e+02,-4.16704e+00,3.45000e+02,-4.27281e+00,
3.50000e+02,-3.65263e+00,3.50000e+02,-3.91916e+00,
3.55000e+02,-2.96823e+00,3.55000e+02,-3.43481e+00,
0.00000e+00,-2.12580e+00,0.00000e+00,-2.74809e+00,
5.00000e+00,-1.22926e+00,5.00000e+00,-2.14832e+00,
