Export File Created with QBlade v0.96 64bit on 09.07.2020 at 17:39:15
_TSR4.5 solidity=0.10 ua,_TSR4.5 solidity=0.10 ua,
Azimuthal Position Blade 1 [deg],Total Normal Load Blade 1 [N],
1.65000e+02,1.17498e+02,
1.70000e+02,2.79167e+01,
1.75000e+02,-6.14070e+01,
1.80000e+02,-1.80705e+02,
1.85000e+02,-2.93249e+02,
1.90000e+02,-3.64186e+02,
1.95000e+02,-4.48916e+02,
2.00000e+02,-4.86982e+02,
2.05000e+02,-5.62341e+02,
2.10000e+02,-6.88495e+02,
2.15000e+02,-9.17637e+02,
2.20000e+02,-6.98802e+02,
2.25000e+02,-1.05169e+03,
2.30000e+02,-8.75841e+02,
2.35000e+02,-1.03051e+03,
2.40000e+02,-9.44947e+02,
2.45000e+02,-9.50618e+02,
2.50000e+02,-9.07193e+02,
2.55000e+02,-8.98726e+02,
2.60000e+02,-9.22631e+02,
2.65000e+02,-9.17581e+02,
2.70000e+02,-8.87018e+02,
2.75000e+02,-8.57402e+02,
2.80000e+02,-9.62484e+02,
2.85000e+02,-1.04834e+03,
2.90000e+02,-1.08028e+03,
2.95000e+02,-1.02039e+03,
3.00000e+02,-7.70742e+02,
3.05000e+02,-7.78328e+02,
3.10000e+02,-7.79756e+02,
3.15000e+02,-7.65040e+02,
3.20000e+02,-6.51795e+02,
3.25000e+02,-7.31474e+02,
3.30000e+02,-7.58724e+02,
3.35000e+02,-7.25498e+02,
3.40000e+02,-6.77262e+02,
3.45000e+02,-7.15687e+02,
3.50000e+02,-5.90919e+02,
3.55000e+02,-5.40892e+02,
0.00000e+00,-3.81893e+02,
5.00000e+00,-2.44326e+02,
1.00000e+01,-1.07485e+02,
1.50000e+01,3.32134e+01,
2.00000e+01,2.07850e+02,
2.50000e+01,3.60673e+02,
3.00000e+01,5.01022e+02,
3.50000e+01,6.18894e+02,
4.00000e+01,7.00338e+02,
4.50000e+01,7.48746e+02,
5.00000e+01,7.90858e+02,
5.50000e+01,8.22801e+02,
6.00000e+01,9.12934e+02,
6.50000e+01,9.48222e+02,
7.00000e+01,1.03187e+03,
7.50000e+01,1.07463e+03,
8.00000e+01,1.07958e+03,
8.50000e+01,1.11130e+03,
9.00000e+01,1.02988e+03,
9.50000e+01,1.03564e+03,
1.00000e+02,9.52081e+02,
1.05000e+02,8.96317e+02,
1.10000e+02,7.95565e+02,
1.15000e+02,7.24684e+02,
1.20000e+02,6.45781e+02,
1.25000e+02,5.52569e+02,
1.30000e+02,4.95001e+02,
1.35000e+02,4.22332e+02,
1.40000e+02,3.89711e+02,
1.45000e+02,3.56516e+02,
1.50000e+02,3.26274e+02,
1.55000e+02,2.82424e+02,
1.60000e+02,2.02471e+02,
1.65000e+02,1.17713e+02,
1.70000e+02,2.77383e+01,
1.75000e+02,-6.24276e+01,
1.80000e+02,-1.82453e+02,
1.85000e+02,-2.97283e+02,
1.90000e+02,-3.63296e+02,
1.95000e+02,-4.43744e+02,
2.00000e+02,-4.82001e+02,
2.05000e+02,-5.55809e+02,
2.10000e+02,-6.55727e+02,
2.15000e+02,-8.30347e+02,
2.20000e+02,-8.12628e+02,
2.25000e+02,-9.57858e+02,
2.30000e+02,-9.68843e+02,
2.35000e+02,-9.73342e+02,
2.40000e+02,-9.47419e+02,
2.45000e+02,-9.17130e+02,
2.50000e+02,-8.99029e+02,
2.55000e+02,-8.98976e+02,
2.60000e+02,-8.99477e+02,
2.65000e+02,-5.70543e+02,
2.70000e+02,-3.58825e+02,
2.75000e+02,-8.87277e+02,
2.80000e+02,-1.18128e+03,
2.85000e+02,-1.10084e+03,
2.90000e+02,-7.43494e+02,
2.95000e+02,-9.65142e+02,
3.00000e+02,-1.37270e+03,
3.05000e+02,-1.12221e+03,
3.10000e+02,-9.74038e+02,
3.15000e+02,-6.42454e+02,
3.20000e+02,-5.91787e+02,
3.25000e+02,-6.55650e+02,
3.30000e+02,-6.86000e+02,
3.35000e+02,-6.90788e+02,
3.40000e+02,-6.56090e+02,
3.45000e+02,-7.14869e+02,
3.50000e+02,-5.93614e+02,
3.55000e+02,-5.47534e+02,
0.00000e+00,-3.86397e+02,
5.00000e+00,-2.48048e+02,
1.00000e+01,-1.13103e+02,
1.50000e+01,3.12260e+01,
2.00000e+01,1.95592e+02,
2.50000e+01,3.54519e+02,
3.00000e+01,4.93614e+02,
3.50000e+01,6.13785e+02,
4.00000e+01,6.96435e+02,
4.50000e+01,7.45966e+02,
5.00000e+01,7.89254e+02,
5.50000e+01,8.21364e+02,
6.00000e+01,9.10395e+02,
6.50000e+01,9.47478e+02,
7.00000e+01,1.03003e+03,
7.50000e+01,1.07354e+03,
8.00000e+01,1.07675e+03,
8.50000e+01,1.11063e+03,
9.00000e+01,1.02625e+03,
9.50000e+01,1.03516e+03,
1.00000e+02,9.46404e+02,
1.05000e+02,8.98449e+02,
1.10000e+02,7.97251e+02,
1.15000e+02,7.27912e+02,
1.20000e+02,6.43258e+02,
1.25000e+02,5.53937e+02,
1.30000e+02,4.94263e+02,
1.35000e+02,4.21676e+02,
1.40000e+02,3.88738e+02,
1.45000e+02,3.55621e+02,
1.50000e+02,3.25388e+02,
1.55000e+02,2.81204e+02,
1.60000e+02,2.00496e+02,
1.65000e+02,1.15605e+02,
1.70000e+02,2.57332e+01,
1.75000e+02,-6.49614e+01,
1.80000e+02,-1.84121e+02,
1.85000e+02,-2.99937e+02,
1.90000e+02,-3.64715e+02,
1.95000e+02,-4.47815e+02,
2.00000e+02,-4.86653e+02,
2.05000e+02,-5.62570e+02,
2.10000e+02,-6.82241e+02,
2.15000e+02,-8.26595e+02,
2.20000e+02,-7.01611e+02,
2.25000e+02,-9.50044e+02,
2.30000e+02,-8.92068e+02,
2.35000e+02,-9.95691e+02,
2.40000e+02,-9.41550e+02,
2.45000e+02,-9.29845e+02,
2.50000e+02,-8.97584e+02,
2.55000e+02,-8.82849e+02,
2.60000e+02,-8.49176e+02,
2.65000e+02,-8.13258e+02,
2.70000e+02,-5.32596e+02,
2.75000e+02,-7.33862e+02,
2.80000e+02,-6.14545e+02,
2.85000e+02,-8.66474e+02,
2.90000e+02,-6.00413e+02,
2.95000e+02,-9.79807e+02,
3.00000e+02,-6.19665e+02,
3.05000e+02,-9.47345e+02,
3.10000e+02,-7.64647e+02,
3.15000e+02,-9.48837e+02,
3.20000e+02,-7.77735e+02,
3.25000e+02,-6.85278e+02,
3.30000e+02,-7.12319e+02,
3.35000e+02,-7.23211e+02,
3.40000e+02,-6.86245e+02,
