Export File Created with QBlade v0.96 64bit on 03.07.2020 at 17:57:48
TSR4.5 solidity=0.10 UA VL ICS1.1 WRF0.45 MW3,TSR4.5 solidity=0.10 UA VL ICS1.1 WRF0.45 MW3,
Azimuthal Position Blade 1 [deg],Angle of Attack (at section) Blade 1 [deg],
3.10000e+02,-3.84254e+00,
3.15000e+02,-7.61731e+00,
3.20000e+02,-4.66982e+00,
3.25000e+02,-6.59948e+00,
3.30000e+02,-4.83851e+00,
3.35000e+02,-5.41406e+00,
3.40000e+02,-4.58316e+00,
3.45000e+02,-4.65716e+00,
3.50000e+02,-4.13596e+00,
3.55000e+02,-2.81858e+00,
0.00000e+00,-3.21095e+00,
5.00000e+00,-2.02543e+00,
1.00000e+01,-1.97800e+00,
1.50000e+01,-1.02943e+00,
2.00000e+01,-4.42661e-01,
2.50000e+01,5.87533e-01,
3.00000e+01,1.29076e+00,
3.50000e+01,2.07454e+00,
4.00000e+01,2.73524e+00,
4.50000e+01,3.40882e+00,
5.00000e+01,4.34309e+00,
5.50000e+01,5.08724e+00,
6.00000e+01,5.59463e+00,
6.50000e+01,6.18484e+00,
7.00000e+01,6.61405e+00,
7.50000e+01,6.63928e+00,
8.00000e+01,7.12652e+00,
8.50000e+01,6.42581e+00,
9.00000e+01,8.77034e+00,
9.50000e+01,6.18294e+00,
1.00000e+02,9.66247e+00,
1.05000e+02,5.49780e+00,
1.10000e+02,9.74654e+00,
1.15000e+02,5.10679e+00,
1.20000e+02,8.90315e+00,
1.25000e+02,4.51965e+00,
1.30000e+02,7.24959e+00,
1.35000e+02,3.45771e+00,
1.40000e+02,5.01498e+00,
1.45000e+02,2.83349e+00,
1.50000e+02,2.48093e+00,
1.55000e+02,1.68964e+00,
1.60000e+02,8.65975e-01,
1.65000e+02,-2.91657e-01,
1.70000e+02,-1.19496e+00,
1.75000e+02,-1.97830e+00,
1.80000e+02,-2.86128e+00,
1.85000e+02,-3.55769e+00,
1.90000e+02,-4.60505e+00,
1.95000e+02,-4.97773e+00,
2.00000e+02,-5.11010e+00,
2.05000e+02,-4.96946e+00,
2.10000e+02,-3.29019e+00,
2.15000e+02,-8.95681e-01,
2.20000e+02,-6.58400e-01,
2.25000e+02,-2.96277e+00,
2.30000e+02,-3.15947e+00,
2.35000e+02,-3.63351e+00,
2.40000e+02,-2.68474e+00,
2.45000e+02,-1.97209e+00,
2.50000e+02,-2.36988e+00,
2.55000e+02,-2.65966e+00,
2.60000e+02,-3.06492e+00,
2.65000e+02,-2.74595e+00,
2.70000e+02,-1.53639e+00,
2.75000e+02,-4.23957e+00,
2.80000e+02,-3.24241e+00,
2.85000e+02,-1.87447e+00,
2.90000e+02,-1.46477e+00,
2.95000e+02,-2.12804e-01,
3.00000e+02,-2.49754e+00,
3.05000e+02,-1.58110e+00,
3.10000e+02,-6.77444e+00,
3.15000e+02,-5.74428e+00,
3.20000e+02,-6.72762e+00,
3.25000e+02,-6.04383e+00,
3.30000e+02,-6.00481e+00,
3.35000e+02,-5.16663e+00,
3.40000e+02,-4.52554e+00,
3.45000e+02,-4.30175e+00,
3.50000e+02,-3.46138e+00,
3.55000e+02,-3.58738e+00,
0.00000e+00,-2.49625e+00,
5.00000e+00,-2.84963e+00,
1.00000e+01,-1.18597e+00,
