Export File Created with QBlade v0.96 64bit on 09.07.2020 at 19:00:53
_TSR4.5 solidity=0.10,_TSR4.5 solidity=0.10,_TSR4.5 solidity=0.10 ua,_TSR4.5 solidity=0.10 ua,_TSR4.5 solidity=0.14 6panel,_TSR4.5 solidity=0.14 6panel,_TSR4.5 solidity=0.14 6panel UAVL,_TSR4.5 solidity=0.14 6panel UAVL,_TSR4.5 solidity=0.14 ua 4-2,_TSR4.5 solidity=0.14 ua 4-2,
Azimuthal Position Blade 1 [deg],Total Tangential Load Blade 1 [m],Azimuthal Position Blade 1 [deg],Total Tangential Load Blade 1 [m],Azimuthal Position Blade 1 [deg],Total Tangential Load Blade 1 [m],Azimuthal Position Blade 1 [deg],Total Tangential Load Blade 1 [m],Azimuthal Position Blade 1 [deg],Total Tangential Load Blade 1 [m],
1.05000e+02,1.15936e+02,1.05000e+02,1.25775e+02,1.05000e+02,1.43412e+02,1.05000e+02,1.65380e+02,1.05000e+02,1.73601e+02,
1.10000e+02,1.09382e+02,1.10000e+02,1.14222e+02,1.10000e+02,1.34856e+02,1.10000e+02,1.63439e+02,1.10000e+02,1.45447e+02,
1.15000e+02,1.01490e+02,1.15000e+02,1.03051e+02,1.15000e+02,1.24530e+02,1.15000e+02,1.33746e+02,1.15000e+02,1.37746e+02,
1.20000e+02,9.23762e+01,1.20000e+02,9.07697e+01,1.20000e+02,1.12710e+02,1.20000e+02,1.20674e+02,1.20000e+02,1.17158e+02,
1.25000e+02,8.24070e+01,1.25000e+02,7.28746e+01,1.25000e+02,9.96772e+01,1.25000e+02,9.72348e+01,1.25000e+02,1.00262e+02,
1.30000e+02,7.17431e+01,1.30000e+02,6.14951e+01,1.30000e+02,8.56659e+01,1.30000e+02,7.73810e+01,1.30000e+02,7.68235e+01,
1.35000e+02,6.06388e+01,1.35000e+02,4.76318e+01,1.35000e+02,7.09770e+01,1.35000e+02,6.07843e+01,1.35000e+02,6.21366e+01,
1.40000e+02,4.92514e+01,1.40000e+02,3.96688e+01,1.40000e+02,5.59655e+01,1.40000e+02,4.99386e+01,1.40000e+02,5.06448e+01,
1.45000e+02,3.77856e+01,1.45000e+02,2.95896e+01,1.45000e+02,4.10469e+01,1.45000e+02,3.73290e+01,1.45000e+02,3.80594e+01,
1.50000e+02,2.65164e+01,1.50000e+02,2.22636e+01,1.50000e+02,2.60062e+01,1.50000e+02,2.46369e+01,1.50000e+02,2.54347e+01,
1.55000e+02,1.56428e+01,1.55000e+02,1.36795e+01,1.55000e+02,1.06078e+01,1.55000e+02,1.07284e+01,1.55000e+02,1.12635e+01,
1.60000e+02,4.70083e+00,1.60000e+02,4.39817e+00,1.60000e+02,-1.82560e+00,1.60000e+02,-1.31032e+00,1.60000e+02,-1.17468e+00,
1.65000e+02,-3.40158e+00,1.65000e+02,-2.71679e+00,1.65000e+02,-1.03143e+01,1.65000e+02,-1.00020e+01,1.65000e+02,-9.97956e+00,
1.70000e+02,-8.19831e+00,1.70000e+02,-7.62766e+00,1.70000e+02,-1.43455e+01,1.70000e+02,-1.45661e+01,1.70000e+02,-1.45555e+01,
1.75000e+02,-9.56131e+00,1.75000e+02,-9.70170e+00,1.75000e+02,-1.37216e+01,1.75000e+02,-1.45992e+01,1.75000e+02,-1.45690e+01,
1.80000e+02,-6.72628e+00,1.80000e+02,-8.35733e+00,1.80000e+02,-7.18259e+00,1.80000e+02,-9.09068e+00,1.80000e+02,-8.67727e+00,
1.85000e+02,3.61243e-03,1.85000e+02,-2.34417e+00,1.85000e+02,3.97574e+00,1.85000e+02,1.02839e+00,1.85000e+02,2.31081e+00,
1.90000e+02,8.85692e+00,1.90000e+02,4.46402e+00,1.90000e+02,1.69296e+01,1.90000e+02,1.36601e+01,1.90000e+02,1.48774e+01,
1.95000e+02,2.08287e+01,1.95000e+02,1.62781e+01,1.95000e+02,2.82184e+01,1.95000e+02,2.42261e+01,1.95000e+02,2.47401e+01,
